Date,stream,Time,Press (PSI),Turb(NTU),H2OTemp(degC),LogTemp(degC),Batt(V),Discharge
2006-08-25,k,16:45,0.101 ,0.0 ,15.3 ,24.5 ,11.0 ,0.477756073
2006-08-25,k,17:00,0.099 ,0.0 ,15.3 ,24.9 ,11.0 ,0.443576759
2006-08-25,k,17:15,0.099 ,0.0 ,15.3 ,24.9 ,11.0 ,0.443576759
2006-08-25,k,17:30,0.099 ,0.0 ,15.3 ,24.8 ,11.0 ,0.443576759
2006-08-25,k,17:45,0.099 ,0.0 ,15.3 ,24.5 ,11.0 ,0.443576759
2006-08-25,k,18:00,0.099 ,0.0 ,15.3 ,24.4 ,11.0 ,0.443576759
2006-08-25,k,18:15,0.099 ,0.0 ,15.3 ,24.3 ,11.0 ,0.443576759
2006-08-25,k,18:30,0.099 ,0.0 ,15.2 ,24.2 ,11.0 ,0.443576759
2006-08-25,k,18:45,0.099 ,0.0 ,15.2 ,24.0 ,11.0 ,0.443576759
2006-08-25,k,19:00,0.099 ,0.0 ,15.2 ,23.9 ,11.0 ,0.443576759
2006-08-25,k,19:15,0.099 ,0.0 ,15.2 ,23.7 ,11.0 ,0.443576759
2006-08-25,k,19:30,0.099 ,0.0 ,15.1 ,23.6 ,11.0 ,0.443576759
2006-08-25,k,19:45,0.099 ,0.0 ,15.1 ,23.4 ,11.0 ,0.443576759
2006-08-25,k,20:00,0.099 ,0.0 ,15.1 ,23.2 ,11.0 ,0.443576759
2006-08-25,k,20:15,0.099 ,0.0 ,15.1 ,23.0 ,11.0 ,0.443576759
2006-08-25,k,20:30,0.099 ,0.0 ,15.1 ,22.8 ,11.0 ,0.443576759
2006-08-25,k,20:45,0.099 ,0.0 ,15.1 ,22.6 ,11.0 ,0.443576759
2006-08-25,k,21:00,0.099 ,0.0 ,15.0 ,22.3 ,11.0 ,0.443576759
2006-08-25,k,21:15,0.099 ,0.0 ,15.0 ,22.1 ,11.0 ,0.443576759
2006-08-25,k,21:30,0.099 ,0.0 ,15.0 ,22.0 ,11.0 ,0.443576759
2006-08-25,k,21:45,0.099 ,0.0 ,15.0 ,21.7 ,11.0 ,0.443576759
